en,ja
ablaze,輝いて
accident,事故
aftershock,余震
airplane%20accident,飛行機％の20accident
ambulance,救急車
annihilated,全滅
annihilation,消滅
apocalypse,黙示録
armageddon,ハルマゲドン
army,軍
arson,放火
arsonist,放火
attack,攻撃
attacked,攻撃しました
avalanche,雪崩
battle,戦い
bioterror,バイオテロ
bioterrorism,バイオテロ
blaze,炎
blazing,燃えます
bleeding,出血
blew%20up, ％の20upを吹きました
blight,枯れ
blizzard,猛吹雪
blood,血液
bloody,流血
blown%20up,吹き％の20up
body%20bag,ボディ％の20bag
body%20bagging,ボディ％の20bagging
body%20bags,ボディ％の20bags
bomb,爆弾
bombed,爆撃
bombing,爆撃
bridge%20collapse,ブリッジ20％が崩壊しました
buildings%20burning,建物の20％燃焼
buildings%20on%20fire,建物％20on％20火
burned,燃焼
burning,燃焼
burning%20buildings, ％の20buildingsを燃やします
bush%20fires,ブッシュ％の20fires
casualties,死傷者
casualty,死傷者
catastrophe,大惨事
catastrophic,壊滅的な
chemical%20emergency,化学％の20emergency
cliff%20fall,崖％20fall
collapse,崩壊
collapsed,崩壊しました
collide,衝突
collided, COLLIDED
collision,衝突
crash,クラッシュ
crashed,墜落しました
crush,クラッシュ
crushed,破砕されました
curfew,門限
cyclone,サイクロン
damage,ダメージ
danger,危険
dead,デッド
death,死
deaths,死亡
debris,デブリ
deluge,大洪水
deluged,殺到
demolish,解体
demolished,取り壊さ
demolition,解体
derail,離脱
derailed,脱線
derailment,脱線
desolate,荒涼としました
desolation,荒廃
destroy,破壊
destroyed,破壊されました
destruction,破壊
detonate,爆轟させる
detonation,爆発
devastated,荒廃
devastation,荒廃
disaster,災害
displaced,変位
drought,干ばつ
drown,溺れる
drowned,溺れました
drowning,溺死
dust%20storm,ダスト％の20storm
earthquake,地震
electrocute,感電
electrocuted,感電
emergency,緊急
emergency%20plan,緊急％の20plan
emergency%20services,緊急％の20services
engulfed,飲み込ま
epicentre,震源
evacuate,避難してください
evacuated,避難
evacuation,避難
explode,爆発します
exploded,爆発
explosion,爆発
eyewitness,目撃者
famine,飢饉
fatal,致命的
fatalities,死亡
fatality,死亡
fear,恐れ
fire,火
fire%20truck,火災％の20truck
first%20responders,最初の％20responders
flames,炎
flattened,平坦化
flood,洪水
flooding,洪水
floods,洪水
forest%20fire,森林％の20fire
forest%20fires,森林％の20fires
hail,雹
hailstorm,雹を伴う嵐
harm,害
hazard,危険
hazardous,危険な
heat%20wave, ％の20waveを加熱します
hellfire,業火
hijack,ハイジャック
hijacker,ハイジャック犯
hijacking,ハイジャック
hostage,人質
hostages,人質
hurricane,ハリケーン
injured,負傷しました
injuries,負傷
injury,損傷
inundated,殺到
inundation,浸水
landslide,地すべり
lava,溶岩
lightning,ライトニング
loud%20bang,大声％の20bang
mass%20murder,質量％の20murder
mass%20murderer,質量％の20murderer
massacre,虐殺
mayhem,騒乱
meltdown,メルトダウン
military,軍事的
mudslide,土砂崩れ
natural%20disaster,自然％の20disaster
nuclear%20disaster,核％の20disaster
nuclear%20reactor,核％の20reactor
obliterate,抹消
obliterated,抹消
obliteration,閉塞
oil%20spill,オイル％の20spill
outbreak,発生
pandemonium,阿鼻叫喚
panic,パニック
panicking,パニック
police,警察
quarantine,検疫
quarantined,隔離されました
radiation%20emergency,放射線％の20emergency
rainstorm,暴風雨
razed,全壊
refugees,難民
rescue,救援
rescued,救出
rescuers,救助
riot,暴動
rioting,暴動
rubble,瓦礫
ruin,破滅
sandstorm,砂嵐
screamed,叫びました
screaming,絶叫
screams,悲鳴
seismic,地震
sinkhole,シンクホール
sinking,沈没
siren,サイレン
sirens,サイレン
smoke,煙
snowstorm,吹雪
storm,嵐
stretcher,ストレッチャ
structural%20failure,構造％の20failure
suicide%20bomb,自殺％の20bomb
suicide%20bomber,自殺％の20bomber
suicide%20bombing,自殺％の20bombing
sunk,沈みました
survive,生き残ります
survived,生き残りました
survivors,生存者
terrorism,テロ
terrorist,テロリスト
threat,脅威
thunder,サンダー
thunderstorm,雷雨
tornado,竜巻
tragedy,悲劇
trapped,閉じ込められました
trauma,外傷
traumatised,心に傷を負いました
trouble,トラブル
tsunami,津波
twister,ツイスター
typhoon,台風
upheaval,激変
violent%20storm,暴力％の20storm
volcano,火山
war%20zone,戦争％の20zone
weapon,武器
weapons,兵器
whirlwind,旋風
wild%20fires,野生％の20fires
wildfire,山火事
windstorm,暴風
wounded,負傷しました
wounds,傷
wreck,大破
wreckage,残骸
wrecked,難破
